production_record_id,machine_id,line_id,product_id,production_date,shift,planned_quantity,actual_quantity,efficiency_percentage
PRODREC-0000031,MCH-001-01-01,LINE-001-01,PROD-006,2026-01-16,B,117,98,84.09
PRODREC-0000032,MCH-001-01-01,LINE-001-01,PROD-009,2026-01-16,A,107,83,77.72
PRODREC-0000033,MCH-001-01-01,LINE-001-01,PROD-005,2026-01-17,C,125,104,83.68
PRODREC-0000034,MCH-001-01-01,LINE-001-01,PROD-006,2026-01-17,B,145,131,90.56
PRODREC-0000035,MCH-001-01-01,LINE-001-01,PROD-005,2026-01-18,B,110,92,84.05
PRODREC-0000036,MCH-001-01-01,LINE-001-01,PROD-009,2026-01-18,A,117,106,91.44
PRODREC-0000037,MCH-001-01-01,LINE-001-01,PROD-007,2026-01-19,A,139,119,86.3
PRODREC-0000038,MCH-001-01-01,LINE-001-01,PROD-009,2026-01-19,B,117,103,88.38
PRODREC-0000039,MCH-001-01-01,LINE-001-01,PROD-004,2026-01-20,A,131,121,92.6
PRODREC-0000040,MCH-001-01-01,LINE-001-01,PROD-009,2026-01-20,B,90,77,85.86
PRODREC-0000041,MCH-001-01-01,LINE-001-01,PROD-006,2026-01-21,C,139,71,51.34
PRODREC-0000042,MCH-001-01-01,LINE-001-01,PROD-007,2026-01-21,B,122,71,58.84
PRODREC-0000043,MCH-001-01-01,LINE-001-01,PROD-004,2026-01-22,B,103,78,76.49
PRODREC-0000044,MCH-001-01-01,LINE-001-01,PROD-007,2026-01-22,B,141,121,85.96
PRODREC-0000045,MCH-001-01-01,LINE-001-01,PROD-006,2026-01-23,B,80,67,83.99
PRODREC-0000046,MCH-001-01-01,LINE-001-01,PROD-006,2026-01-23,B,112,101,90.34
PRODREC-0000047,MCH-001-01-01,LINE-001-01,PROD-004,2026-01-24,A,141,120,85.74
PRODREC-0000048,MCH-001-01-01,LINE-001-01,PROD-002,2026-01-24,A,100,85,85.28
PRODREC-0000049,MCH-001-01-01,LINE-001-01,PROD-009,2026-01-25,C,87,74,85.06
PRODREC-0000050,MCH-001-01-01,LINE-001-01,PROD-001,2026-01-25,B,94,77,82.69
PRODREC-0000051,MCH-001-01-01,LINE-001-01,PROD-002,2026-01-26,B,107,90,84.64
PRODREC-0000052,MCH-001-01-01,LINE-001-01,PROD-004,2026-01-26,A,89,76,85.83
PRODREC-0000053,MCH-001-01-01,LINE-001-01,PROD-010,2026-01-27,B,145,120,83.38
PRODREC-0000054,MCH-001-01-01,LINE-001-01,PROD-007,2026-01-27,B,123,105,85.79
PRODREC-0000055,MCH-001-01-01,LINE-001-01,PROD-008,2026-01-28,B,116,100,86.95
PRODREC-0000056,MCH-001-01-01,LINE-001-01,PROD-001,2026-01-28,B,127,111,87.67
PRODREC-0000057,MCH-001-01-01,LINE-001-01,PROD-001,2026-01-29,A,101,80,79.63
PRODREC-0000058,MCH-001-01-01,LINE-001-01,PROD-009,2026-01-29,C,93,77,83.3
PRODREC-0000059,MCH-001-01-01,LINE-001-01,PROD-009,2026-01-30,B,105,94,89.83
PRODREC-0000060,MCH-001-01-01,LINE-001-01,PROD-009,2026-01-30,C,139,112,81.03
PRODREC-0000061,MCH-001-01-02,LINE-001-01,PROD-005,2026-01-01,A,135,89,65.98
PRODREC-0000062,MCH-001-01-02,LINE-001-01,PROD-002,2026-01-01,C,128,61,47.89
PRODREC-0000063,MCH-001-01-02,LINE-001-01,PROD-001,2026-01-02,A,149,139,93.65
PRODREC-0000064,MCH-001-01-02,LINE-001-01,PROD-001,2026-01-02,C,127,117,92.38
PRODREC-0000065,MCH-001-01-02,LINE-001-01,PROD-006,2026-01-03,A,83,72,87.53
PRODREC-0000066,MCH-001-01-02,LINE-001-01,PROD-005,2026-01-03,C,139,120,86.59
PRODREC-0000067,MCH-001-01-02,LINE-001-01,PROD-008,2026-01-04,A,86,73,85.59
PRODREC-0000068,MCH-001-01-02,LINE-001-01,PROD-002,2026-01-04,C,83,73,88.44
PRODREC-0000069,MCH-001-01-02,LINE-001-01,PROD-003,2026-01-05,A,109,94,87.09
PRODREC-0000070,MCH-001-01-02,LINE-001-01,PROD-009,2026-01-05,B,104,91,88.26
PRODREC-0000071,MCH-001-01-02,LINE-001-01,PROD-009,2026-01-06,A,86,69,80.9
PRODREC-0000072,MCH-001-01-02,LINE-001-01,PROD-005,2026-01-06,A,116,100,87.0
PRODREC-0000073,MCH-001-01-02,LINE-001-01,PROD-003,2026-01-07,B,108,98,91.16
PRODREC-0000074,MCH-001-01-02,LINE-001-01,PROD-010,2026-01-07,B,86,77,90.35
PRODREC-0000075,MCH-001-01-02,LINE-001-01,PROD-003,2026-01-08,B,126,105,83.89
PRODREC-0000076,MCH-001-01-02,LINE-001-01,PROD-004,2026-01-08,B,147,128,87.32
PRODREC-0000077,MCH-001-01-02,LINE-001-01,PROD-008,2026-01-09,B,96,54,56.64
PRODREC-0000078,MCH-001-01-02,LINE-001-01,PROD-005,2026-01-09,C,80,51,64.67
PRODREC-0000079,MCH-001-01-02,LINE-001-01,PROD-004,2026-01-10,B,88,71,81.62
PRODREC-0000080,MCH-001-01-02,LINE-001-01,PROD-009,2026-01-10,A,135,113,84.14
PRODREC-0000081,MCH-001-01-02,LINE-001-01,PROD-003,2026-01-11,C,109,97,89.86
PRODREC-0000082,MCH-001-01-02,LINE-001-01,PROD-006,2026-01-11,C,125,125,100.0
PRODREC-0000083,MCH-001-01-02,LINE-001-01,PROD-007,2026-01-12,A,149,117,78.85
PRODREC-0000084,MCH-001-01-02,LINE-001-01,PROD-003,2026-01-12,B,101,86,85.62
PRODREC-0000085,MCH-001-01-02,LINE-001-01,PROD-003,2026-01-13,A,130,115,89.2
PRODREC-0000086,MCH-001-01-02,LINE-001-01,PROD-008,2026-01-13,C,111,93,84.16
PRODREC-0000087,MCH-001-01-02,LINE-001-01,PROD-007,2026-01-14,C,123,116,94.36
PRODREC-0000088,MCH-001-01-02,LINE-001-01,PROD-002,2026-01-14,B,86,84,98.66
PRODREC-0000089,MCH-001-01-02,LINE-001-01,PROD-005,2026-01-15,B,115,96,84.19
PRODREC-0000090,MCH-001-01-02,LINE-001-01,PROD-010,2026-01-15,A,84,67,80.56
PRODREC-0000091,MCH-001-01-02,LINE-001-01,PROD-003,2026-01-16,B,105,85,81.08
PRODREC-0000092,MCH-001-01-02,LINE-001-01,PROD-005,2026-01-16,B,112,90,80.38
PRODREC-0000093,MCH-001-01-02,LINE-001-01,PROD-008,2026-01-17,C,138,118,85.75
PRODREC-0000094,MCH-001-01-02,LINE-001-01,PROD-005,2026-01-17,B,113,100,89.13
PRODREC-0000095,MCH-001-01-02,LINE-001-01,PROD-008,2026-01-18,C,81,65,81.18
PRODREC-0000096,MCH-001-01-02,LINE-001-01,PROD-005,2026-01-18,C,122,105,86.34
PRODREC-0000097,MCH-001-01-02,LINE-001-01,PROD-010,2026-01-19,B,149,134,90.27
PRODREC-0000098,MCH-001-01-02,LINE-001-01,PROD-003,2026-01-19,C,91,72,79.68
PRODREC-0000099,MCH-001-01-02,LINE-001-01,PROD-001,2026-01-20,B,120,96,80.25
PRODREC-0000100,MCH-001-01-02,LINE-001-01,PROD-009,2026-01-20,B,94,82,87.66
PRODREC-0000101,MCH-001-01-02,LINE-001-01,PROD-006,2026-01-21,C,149,129,87.24
PRODREC-0000102,MCH-001-01-02,LINE-001-01,PROD-010,2026-01-21,A,86,80,93.84
PRODREC-0000103,MCH-001-01-02,LINE-001-01,PROD-003,2026-01-22,A,85,75,89.39
PRODREC-0000104,MCH-001-01-02,LINE-001-01,PROD-009,2026-01-22,A,140,113,81.42
PRODREC-0000105,MCH-001-01-02,LINE-001-01,PROD-007,2026-01-23,A,135,120,89.46
PRODREC-0000106,MCH-001-01-02,LINE-001-01,PROD-005,2026-01-23,C,147,134,91.27
PRODREC-0000107,MCH-001-01-02,LINE-001-01,PROD-010,2026-01-24,B,122,102,84.32
PRODREC-0000108,MCH-001-01-02,LINE-001-01,PROD-005,2026-01-24,C,104,88,84.82
PRODREC-0000109,MCH-001-01-02,LINE-001-01,PROD-001,2026-01-25,C,81,68,84.61
PRODREC-0000110,MCH-001-01-02,LINE-001-01,PROD-001,2026-01-25,A,104,94,90.72
PRODREC-0000111,MCH-001-01-02,LINE-001-01,PROD-002,2026-01-26,B,129,104,80.67
PRODREC-0000112,MCH-001-01-02,LINE-001-01,PROD-001,2026-01-26,C,91,75,83.42
PRODREC-0000113,MCH-001-01-02,LINE-001-01,PROD-003,2026-01-27,A,122,100,82.26
PRODREC-0000114,MCH-001-01-02,LINE-001-01,PROD-001,2026-01-27,C,108,87,81.43
PRODREC-0000115,MCH-001-01-02,LINE-001-01,PROD-003,2026-01-28,A,109,86,79.22
PRODREC-0000116,MCH-001-01-02,LINE-001-01,PROD-006,2026-01-28,B,80,71,88.88
PRODREC-0000117,MCH-001-01-02,LINE-001-01,PROD-008,2026-01-29,C,80,71,89.94
PRODREC-0000118,MCH-001-01-02,LINE-001-01,PROD-004,2026-01-29,B,124,95,76.98
PRODREC-0000119,MCH-001-01-02,LINE-001-01,PROD-010,2026-01-30,A,83,72,87.68
PRODREC-0000120,MCH-001-01-02,LINE-001-01,PROD-010,2026-01-30,C,118,100,85.59
PRODREC-0000121,MCH-001-01-03,LINE-001-01,PROD-004,2026-01-01,C,147,127,86.73
PRODREC-0000122,MCH-001-01-03,LINE-001-01,PROD-006,2026-01-01,C,101,101,100.0
PRODREC-0000123,MCH-001-01-03,LINE-001-01,PROD-004,2026-01-02,C,122,116,95.22
PRODREC-0000124,MCH-001-01-03,LINE-001-01,PROD-004,2026-01-02,B,144,129,90.07
PRODREC-0000125,MCH-001-01-03,LINE-001-01,PROD-001,2026-01-03,B,81,80,99.53
PRODREC-0000126,MCH-001-01-03,LINE-001-01,PROD-004,2026-01-03,B,95,89,93.85
PRODREC-0000127,MCH-001-01-03,LINE-001-01,PROD-010,2026-01-04,B,82,73,89.86
PRODREC-0000128,MCH-001-01-03,LINE-001-01,PROD-003,2026-01-04,B,125,116,92.94
PRODREC-0000129,MCH-001-01-03,LINE-001-01,PROD-009,2026-01-05,B,80,75,94.61
PRODREC-0000130,MCH-001-01-03,LINE-001-01,PROD-003,2026-01-05,B,121,114,94.42
PRODREC-0000131,MCH-001-01-03,LINE-001-01,PROD-006,2026-01-06,B,80,80,100.0
PRODREC-0000132,MCH-001-01-03,LINE-001-01,PROD-003,2026-01-06,C,113,108,95.82
PRODREC-0000133,MCH-001-01-03,LINE-001-01,PROD-004,2026-01-07,A,106,106,100.0
PRODREC-0000134,MCH-001-01-03,LINE-001-01,PROD-005,2026-01-07,B,104,104,100.0
PRODREC-0000135,MCH-001-01-03,LINE-001-01,PROD-005,2026-01-08,A,134,134,100.0
PRODREC-0000136,MCH-001-01-03,LINE-001-01,PROD-004,2026-01-08,B,80,78,98.53
PRODREC-0000137,MCH-001-01-03,LINE-001-01,PROD-003,2026-01-09,C,131,126,96.53
PRODREC-0000138,MCH-001-01-03,LINE-001-01,PROD-002,2026-01-09,C,110,105,96.35
PRODREC-0000139,MCH-001-01-03,LINE-001-01,PROD-009,2026-01-10,A,92,89,96.95
PRODREC-0000140,MCH-001-01-03,LINE-001-01,PROD-010,2026-01-10,C,109,107,98.65
PRODREC-0000141,MCH-001-01-03,LINE-001-01,PROD-006,2026-01-11,B,104,95,92.27
PRODREC-0000142,MCH-001-01-03,LINE-001-01,PROD-003,2026-01-11,A,84,76,91.16
PRODREC-0000143,MCH-001-01-03,LINE-001-01,PROD-010,2026-01-12,B,102,92,90.48
PRODREC-0000144,MCH-001-01-03,LINE-001-01,PROD-008,2026-01-12,B,109,97,89.79
PRODREC-0000145,MCH-001-01-03,LINE-001-01,PROD-009,2026-01-13,A,128,122,95.94
PRODREC-0000146,MCH-001-01-03,LINE-001-01,PROD-004,2026-01-13,C,107,98,91.81
PRODREC-0000147,MCH-001-01-03,LINE-001-01,PROD-006,2026-01-14,C,111,102,91.9
PRODREC-0000148,MCH-001-01-03,LINE-001-01,PROD-006,2026-01-14,A,140,135,97.04
PRODREC-0000149,MCH-001-01-03,LINE-001-01,PROD-004,2026-01-15,A,132,131,99.25
PRODREC-0000150,MCH-001-01-03,LINE-001-01,PROD-005,2026-01-15,B,141,126,89.96
PRODREC-0000151,MCH-001-01-03,LINE-001-01,PROD-002,2026-01-16,B,93,86,93.14
PRODREC-0000152,MCH-001-01-03,LINE-001-01,PROD-005,2026-01-16,B,138,132,95.94
PRODREC-0000153,MCH-001-01-03,LINE-001-01,PROD-009,2026-01-17,C,114,109,95.94
PRODREC-0000154,MCH-001-01-03,LINE-001-01,PROD-010,2026-01-17,A,108,108,100.0
PRODREC-0000155,MCH-001-01-03,LINE-001-01,PROD-005,2026-01-18,A,90,86,95.7
PRODREC-0000156,MCH-001-01-03,LINE-001-01,PROD-001,2026-01-18,C,100,100,100.0
PRODREC-0000157,MCH-001-01-03,LINE-001-01,PROD-009,2026-01-19,B,103,103,100.0
PRODREC-0000158,MCH-001-01-03,LINE-001-01,PROD-007,2026-01-19,C,143,134,94.11
PRODREC-0000159,MCH-001-01-03,LINE-001-01,PROD-010,2026-01-20,A,128,118,92.8
PRODREC-0000160,MCH-001-01-03,LINE-001-01,PROD-006,2026-01-20,B,93,93,100.0
PRODREC-0000161,MCH-001-01-03,LINE-001-01,PROD-004,2026-01-21,A,86,86,100.0
PRODREC-0000162,MCH-001-01-03,LINE-001-01,PROD-003,2026-01-21,C,81,81,100.0
PRODREC-0000163,MCH-001-01-03,LINE-001-01,PROD-006,2026-01-22,C,87,76,87.49
PRODREC-0000164,MCH-001-01-03,LINE-001-01,PROD-010,2026-01-22,B,93,93,100.0
PRODREC-0000165,MCH-001-01-03,LINE-001-01,PROD-004,2026-01-23,C,90,80,89.93
PRODREC-0000166,MCH-001-01-03,LINE-001-01,PROD-006,2026-01-23,A,149,139,93.67
PRODREC-0000167,MCH-001-01-03,LINE-001-01,PROD-006,2026-01-24,A,103,98,95.86
PRODREC-0000168,MCH-001-01-03,LINE-001-01,PROD-010,2026-01-24,A,111,110,99.7
PRODREC-0000169,MCH-001-01-03,LINE-001-01,PROD-006,2026-01-25,C,113,66,58.63
PRODREC-0000170,MCH-001-01-03,LINE-001-01,PROD-002,2026-01-25,C,123,76,62.42
PRODREC-0000171,MCH-001-01-03,LINE-001-01,PROD-009,2026-01-26,C,129,120,93.44
PRODREC-0000172,MCH-001-01-03,LINE-001-01,PROD-002,2026-01-26,C,90,90,100.0
PRODREC-0000173,MCH-001-01-03,LINE-001-01,PROD-003,2026-01-27,B,121,117,96.79
PRODREC-0000174,MCH-001-01-03,LINE-001-01,PROD-006,2026-01-27,A,124,121,97.78
PRODREC-0000175,MCH-001-01-03,LINE-001-01,PROD-005,2026-01-28,B,108,108,100.0
PRODREC-0000176,MCH-001-01-03,LINE-001-01,PROD-008,2026-01-28,C,95,95,100.0
PRODREC-0000177,MCH-001-01-03,LINE-001-01,PROD-004,2026-01-29,B,86,81,95.1
PRODREC-0000178,MCH-001-01-03,LINE-001-01,PROD-008,2026-01-29,C,131,131,100.0
PRODREC-0000179,MCH-001-01-03,LINE-001-01,PROD-007,2026-01-30,A,85,73,86.38
PRODREC-0000180,MCH-001-01-03,LINE-001-01,PROD-001,2026-01-30,A,140,128,91.74
PRODREC-0000181,MCH-001-01-04,LINE-001-01,PROD-006,2026-01-01,C,101,100,99.79
PRODREC-0000182,MCH-001-01-04,LINE-001-01,PROD-003,2026-01-01,B,133,131,98.61
PRODREC-0000183,MCH-001-01-04,LINE-001-01,PROD-010,2026-01-02,C,83,65,79.32
PRODREC-0000184,MCH-001-01-04,LINE-001-01,PROD-003,2026-01-02,A,91,84,93.06
PRODREC-0000185,MCH-001-01-04,LINE-001-01,PROD-008,2026-01-03,B,85,79,93.5
PRODREC-0000186,MCH-001-01-04,LINE-001-01,PROD-009,2026-01-03,C,104,92,88.91
PRODREC-0000187,MCH-001-01-04,LINE-001-01,PROD-008,2026-01-04,C,148,134,90.96
PRODREC-0000188,MCH-001-01-04,LINE-001-01,PROD-001,2026-01-04,C,112,101,90.92
PRODREC-0000189,MCH-001-01-04,LINE-001-01,PROD-008,2026-01-05,B,99,90,91.38
PRODREC-0000190,MCH-001-01-04,LINE-001-01,PROD-005,2026-01-05,A,102,94,93.09
PRODREC-0000191,MCH-001-01-04,LINE-001-01,PROD-010,2026-01-06,A,117,106,90.95
PRODREC-0000192,MCH-001-01-04,LINE-001-01,PROD-002,2026-01-06,A,86,83,97.53
PRODREC-0000193,MCH-001-01-04,LINE-001-01,PROD-004,2026-01-07,B,126,124,99.11
PRODREC-0000194,MCH-001-01-04,LINE-001-01,PROD-006,2026-01-07,B,84,81,97.29
PRODREC-0000195,MCH-001-01-04,LINE-001-01,PROD-006,2026-01-08,A,120,120,100.0
PRODREC-0000196,MCH-001-01-04,LINE-001-01,PROD-008,2026-01-08,C,141,136,96.49
PRODREC-0000197,MCH-001-01-04,LINE-001-01,PROD-005,2026-01-09,C,127,114,90.31
PRODREC-0000198,MCH-001-01-04,LINE-001-01,PROD-007,2026-01-09,C,147,128,87.58
PRODREC-0000199,MCH-001-01-04,LINE-001-01,PROD-007,2026-01-10,A,145,126,87.26
PRODREC-0000200,MCH-001-01-04,LINE-001-01,PROD-007,2026-01-10,A,135,121,90.25
PRODREC-0000201,MCH-001-01-04,LINE-001-01,PROD-004,2026-01-11,A,116,112,97.26
PRODREC-0000202,MCH-001-01-04,LINE-001-01,PROD-008,2026-01-11,B,146,128,87.78
PRODREC-0000203,MCH-001-01-04,LINE-001-01,PROD-004,2026-01-12,C,96,90,94.23
PRODREC-0000204,MCH-001-01-04,LINE-001-01,PROD-005,2026-01-12,A,111,99,89.71
PRODREC-0000205,MCH-001-01-04,LINE-001-01,PROD-007,2026-01-13,A,102,101,99.87
PRODREC-0000206,MCH-001-01-04,LINE-001-01,PROD-001,2026-01-13,A,137,137,100.0
PRODREC-0000207,MCH-001-01-04,LINE-001-01,PROD-001,2026-01-14,A,91,88,97.31
PRODREC-0000208,MCH-001-01-04,LINE-001-01,PROD-003,2026-01-14,C,93,83,89.42
PRODREC-0000209,MCH-001-01-04,LINE-001-01,PROD-008,2026-01-15,A,127,113,89.11
PRODREC-0000210,MCH-001-01-04,LINE-001-01,PROD-003,2026-01-15,C,89,81,91.37
PRODREC-0000211,MCH-001-01-04,LINE-001-01,PROD-009,2026-01-16,B,88,80,91.3
PRODREC-0000212,MCH-001-01-04,LINE-001-01,PROD-004,2026-01-16,A,83,75,91.02
PRODREC-0000213,MCH-001-01-04,LINE-001-01,PROD-006,2026-01-17,A,133,76,57.29
PRODREC-0000214,MCH-001-01-04,LINE-001-01,PROD-009,2026-01-17,C,92,42,46.44
PRODREC-0000215,MCH-001-01-04,LINE-001-01,PROD-007,2026-01-18,C,104,102,98.96
PRODREC-0000216,MCH-001-01-04,LINE-001-01,PROD-008,2026-01-18,B,148,137,92.68
PRODREC-0000217,MCH-001-01-04,LINE-001-01,PROD-008,2026-01-19,C,102,97,95.33
PRODREC-0000218,MCH-001-01-04,LINE-001-01,PROD-006,2026-01-19,C,129,114,89.04
PRODREC-0000219,MCH-001-01-04,LINE-001-01,PROD-004,2026-01-20,C,146,135,93.05
PRODREC-0000220,MCH-001-01-04,LINE-001-01,PROD-010,2026-01-20,B,101,93,92.6
PRODREC-0000221,MCH-001-01-04,LINE-001-01,PROD-003,2026-01-21,B,114,114,100.0
PRODREC-0000222,MCH-001-01-04,LINE-001-01,PROD-008,2026-01-21,B,146,123,84.41
PRODREC-0000223,MCH-001-01-04,LINE-001-01,PROD-006,2026-01-22,C,122,119,97.99
PRODREC-0000224,MCH-001-01-04,LINE-001-01,PROD-005,2026-01-22,C,86,80,93.41
PRODREC-0000225,MCH-001-01-04,LINE-001-01,PROD-009,2026-01-23,C,82,68,84.05
PRODREC-0000226,MCH-001-01-04,LINE-001-01,PROD-001,2026-01-23,A,81,67,83.08
PRODREC-0000227,MCH-001-01-04,LINE-001-01,PROD-007,2026-01-24,B,80,77,96.38
PRODREC-0000228,MCH-001-01-04,LINE-001-01,PROD-005,2026-01-24,C,100,98,98.51
PRODREC-0000229,MCH-001-01-04,LINE-001-01,PROD-001,2026-01-25,B,141,127,90.26
PRODREC-0000230,MCH-001-01-04,LINE-001-01,PROD-006,2026-01-25,A,105,98,93.46
PRODREC-0000231,MCH-001-01-04,LINE-001-01,PROD-008,2026-01-26,C,119,109,91.9
PRODREC-0000232,MCH-001-01-04,LINE-001-01,PROD-010,2026-01-26,A,111,110,99.93
PRODREC-0000233,MCH-001-01-04,LINE-001-01,PROD-002,2026-01-27,A,143,135,94.76
PRODREC-0000234,MCH-001-01-04,LINE-001-01,PROD-008,2026-01-27,B,98,88,90.28
PRODREC-0000235,MCH-001-01-04,LINE-001-01,PROD-010,2026-01-28,A,119,115,97.18
PRODREC-0000236,MCH-001-01-04,LINE-001-01,PROD-008,2026-01-28,C,95,95,100.0
PRODREC-0000237,MCH-001-01-04,LINE-001-01,PROD-003,2026-01-29,C,147,135,91.92
PRODREC-0000238,MCH-001-01-04,LINE-001-01,PROD-008,2026-01-29,B,144,138,96.26
PRODREC-0000239,MCH-001-01-04,LINE-001-01,PROD-003,2026-01-30,C,101,93,92.49
PRODREC-0000240,MCH-001-01-04,LINE-001-01,PROD-006,2026-01-30,C,117,101,86.57
PRODREC-0000241,MCH-001-02-01,LINE-001-02,PROD-006,2026-01-01,A,138,136,99.24
PRODREC-0000242,MCH-001-02-01,LINE-001-02,PROD-008,2026-01-01,A,149,136,91.85
PRODREC-0000243,MCH-001-02-01,LINE-001-02,PROD-003,2026-01-02,B,83,83,100.0
PRODREC-0000244,MCH-001-02-01,LINE-001-02,PROD-009,2026-01-02,C,131,130,99.69
PRODREC-0000245,MCH-001-02-01,LINE-001-02,PROD-008,2026-01-03,B,111,104,93.84
PRODREC-0000246,MCH-001-02-01,LINE-001-02,PROD-007,2026-01-03,B,103,100,97.14
PRODREC-0000247,MCH-001-02-01,LINE-001-02,PROD-003,2026-01-04,C,97,97,100.0
PRODREC-0000248,MCH-001-02-01,LINE-001-02,PROD-003,2026-01-04,A,145,145,100.0
PRODREC-0000249,MCH-001-02-01,LINE-001-02,PROD-010,2026-01-05,C,120,120,100.0
PRODREC-0000250,MCH-001-02-01,LINE-001-02,PROD-001,2026-01-05,C,84,80,95.77
PRODREC-0000251,MCH-001-02-01,LINE-001-02,PROD-001,2026-01-06,A,90,86,96.58
PRODREC-0000252,MCH-001-02-01,LINE-001-02,PROD-007,2026-01-06,B,137,128,93.49
PRODREC-0000253,MCH-001-02-01,LINE-001-02,PROD-003,2026-01-07,B,143,129,90.52
PRODREC-0000254,MCH-001-02-01,LINE-001-02,PROD-006,2026-01-07,A,143,143,100.0
PRODREC-0000255,MCH-001-02-01,LINE-001-02,PROD-003,2026-01-08,B,91,80,88.25
PRODREC-0000256,MCH-001-02-01,LINE-001-02,PROD-004,2026-01-08,A,108,100,92.67
PRODREC-0000257,MCH-001-02-01,LINE-001-02,PROD-006,2026-01-09,B,88,82,93.45
PRODREC-0000258,MCH-001-02-01,LINE-001-02,PROD-007,2026-01-09,A,80,80,100.0
PRODREC-0000259,MCH-001-02-01,LINE-001-02,PROD-004,2026-01-10,A,107,106,99.15
PRODREC-0000260,MCH-001-02-01,LINE-001-02,PROD-003,2026-01-10,C,90,90,100.0
PRODREC-0000261,MCH-001-02-01,LINE-001-02,PROD-001,2026-01-11,B,122,118,97.19
PRODREC-0000262,MCH-001-02-01,LINE-001-02,PROD-008,2026-01-11,C,124,110,88.98
PRODREC-0000263,MCH-001-02-01,LINE-001-02,PROD-002,2026-01-12,A,105,97,93.18
PRODREC-0000264,MCH-001-02-01,LINE-001-02,PROD-002,2026-01-12,A,137,125,91.83
PRODREC-0000265,MCH-001-02-01,LINE-001-02,PROD-001,2026-01-13,B,108,105,97.42
PRODREC-0000266,MCH-001-02-01,LINE-001-02,PROD-002,2026-01-13,A,110,106,96.39
PRODREC-0000267,MCH-001-02-01,LINE-001-02,PROD-003,2026-01-14,A,117,117,100.0
PRODREC-0000268,MCH-001-02-01,LINE-001-02,PROD-002,2026-01-14,C,86,83,97.06
PRODREC-0000269,MCH-001-02-01,LINE-001-02,PROD-007,2026-01-15,A,146,134,91.99
PRODREC-0000270,MCH-001-02-01,LINE-001-02,PROD-001,2026-01-15,B,83,76,92.45
PRODREC-0000271,MCH-001-02-01,LINE-001-02,PROD-004,2026-01-16,A,86,81,94.28
PRODREC-0000272,MCH-001-02-01,LINE-001-02,PROD-006,2026-01-16,A,94,81,86.21
