inspection_id,machine_id,product_id,inspection_date,defect_found,defect_type,quality_score
INSP-0000060,MCH-001-02-02,PROD-008,2026-01-24,False,,95.59
INSP-0000061,MCH-001-02-02,PROD-001,2026-01-25,False,,91.74
INSP-0000062,MCH-001-02-02,PROD-009,2026-01-26,False,,95.1
INSP-0000063,MCH-001-02-03,PROD-001,2026-01-01,False,,92.61
INSP-0000064,MCH-001-02-03,PROD-009,2026-01-04,False,,91.46
INSP-0000065,MCH-001-02-03,PROD-003,2026-01-06,False,,92.19
INSP-0000066,MCH-001-02-03,PROD-006,2026-01-09,False,,96.85
INSP-0000067,MCH-001-02-03,PROD-003,2026-01-10,False,,97.46
INSP-0000068,MCH-001-02-03,PROD-009,2026-01-11,False,,95.7
INSP-0000069,MCH-001-02-03,PROD-003,2026-01-16,False,,99.12
INSP-0000070,MCH-001-02-03,PROD-008,2026-01-17,False,,94.21
INSP-0000071,MCH-001-02-03,PROD-009,2026-01-21,False,,96.25
INSP-0000072,MCH-001-02-03,PROD-002,2026-01-23,False,,97.85
INSP-0000073,MCH-001-02-03,PROD-003,2026-01-25,False,,97.98
INSP-0000074,MCH-001-02-03,PROD-007,2026-01-26,False,,92.48
INSP-0000075,MCH-001-02-03,PROD-006,2026-01-27,False,,93.09
INSP-0000076,MCH-001-02-04,PROD-005,2026-01-01,True,Surface Defect,75.49
INSP-0000077,MCH-001-02-04,PROD-005,2026-01-03,True,Assembly Error,73.5
INSP-0000078,MCH-001-02-04,PROD-003,2026-01-04,False,,90.43
INSP-0000079,MCH-001-02-04,PROD-005,2026-01-07,False,,91.67
INSP-0000080,MCH-001-02-04,PROD-007,2026-01-08,False,,90.26
INSP-0000081,MCH-001-02-04,PROD-003,2026-01-11,False,,95.08
INSP-0000082,MCH-001-02-04,PROD-010,2026-01-12,False,,99.76
INSP-0000083,MCH-001-02-04,PROD-009,2026-01-15,False,,99.54
INSP-0000084,MCH-001-02-04,PROD-008,2026-01-16,False,,94.72
INSP-0000085,MCH-001-02-04,PROD-001,2026-01-17,False,,93.03
INSP-0000086,MCH-001-02-04,PROD-001,2026-01-20,False,,91.12
INSP-0000087,MCH-001-02-04,PROD-001,2026-01-22,False,,93.68
INSP-0000088,MCH-001-02-04,PROD-007,2026-01-23,False,,97.22
INSP-0000089,MCH-001-02-04,PROD-002,2026-01-25,False,,97.77
INSP-0000090,MCH-001-02-04,PROD-010,2026-01-29,False,,92.17
INSP-0000091,MCH-001-03-01,PROD-003,2026-01-08,False,,90.62
INSP-0000092,MCH-001-03-01,PROD-010,2026-01-09,False,,96.66
INSP-0000093,MCH-001-03-01,PROD-010,2026-01-20,False,,94.96
INSP-0000094,MCH-001-03-01,PROD-002,2026-01-21,False,,96.03
INSP-0000095,MCH-001-03-01,PROD-006,2026-01-24,False,,99.62
INSP-0000096,MCH-001-03-01,PROD-003,2026-01-25,False,,94.4
INSP-0000097,MCH-001-03-01,PROD-007,2026-01-27,False,,97.26
INSP-0000098,MCH-001-03-01,PROD-004,2026-01-29,False,,94.02
INSP-0000099,MCH-001-03-01,PROD-010,2026-01-30,False,,95.53
INSP-0000100,MCH-001-03-02,PROD-005,2026-01-01,False,,94.38
INSP-0000101,MCH-001-03-02,PROD-004,2026-01-02,False,,95.65
INSP-0000102,MCH-001-03-02,PROD-002,2026-01-11,False,,92.32
INSP-0000103,MCH-001-03-02,PROD-003,2026-01-12,False,,93.87
INSP-0000104,MCH-001-03-02,PROD-001,2026-01-17,False,,95.53
INSP-0000105,MCH-001-03-02,PROD-010,2026-01-19,False,,98.52
INSP-0000106,MCH-001-03-02,PROD-009,2026-01-22,False,,97.05
INSP-0000107,MCH-001-03-02,PROD-009,2026-01-27,True,Assembly Error,96.47
INSP-0000108,MCH-001-03-03,PROD-002,2026-01-01,True,Dimensional Error,99.23
INSP-0000109,MCH-001-03-03,PROD-005,2026-01-10,False,,91.57
INSP-0000110,MCH-001-03-03,PROD-010,2026-01-13,False,,98.53
INSP-0000111,MCH-001-03-03,PROD-006,2026-01-15,False,,97.47
INSP-0000112,MCH-001-03-03,PROD-001,2026-01-16,False,,94.49
INSP-0000113,MCH-001-03-03,PROD-005,2026-01-17,False,,99.19
INSP-0000114,MCH-001-03-03,PROD-009,2026-01-18,True,Assembly Error,91.16
INSP-0000115,MCH-001-03-03,PROD-002,2026-01-23,False,,99.44
INSP-0000116,MCH-001-03-03,PROD-010,2026-01-24,False,,93.03
INSP-0000117,MCH-001-03-03,PROD-003,2026-01-25,False,,92.45
INSP-0000118,MCH-001-03-03,PROD-001,2026-01-27,False,,97.05
INSP-0000119,MCH-001-03-04,PROD-005,2026-01-04,False,,99.48
INSP-0000120,MCH-001-03-04,PROD-007,2026-01-07,False,,96.28
INSP-0000121,MCH-001-03-04,PROD-006,2026-01-08,False,,91.15
INSP-0000122,MCH-001-03-04,PROD-001,2026-01-10,False,,95.07
INSP-0000123,MCH-001-03-04,PROD-010,2026-01-11,False,,90.24
INSP-0000124,MCH-001-03-04,PROD-006,2026-01-14,False,,98.46
INSP-0000125,MCH-001-03-04,PROD-009,2026-01-17,False,,96.88
INSP-0000126,MCH-001-03-04,PROD-007,2026-01-19,False,,96.59
INSP-0000127,MCH-001-03-04,PROD-001,2026-01-21,False,,94.13
INSP-0000128,MCH-001-03-04,PROD-005,2026-01-25,False,,99.96
INSP-0000129,MCH-002-01-01,PROD-004,2026-01-01,False,,93.48
INSP-0000130,MCH-002-01-01,PROD-001,2026-01-03,False,,97.86
INSP-0000131,MCH-002-01-01,PROD-007,2026-01-06,True,Assembly Error,75.79
INSP-0000132,MCH-002-01-01,PROD-004,2026-01-08,False,,96.14
INSP-0000133,MCH-002-01-01,PROD-007,2026-01-09,True,Assembly Error,79.29
INSP-0000134,MCH-002-01-01,PROD-007,2026-01-11,False,,92.55
INSP-0000135,MCH-002-01-01,PROD-002,2026-01-17,False,,96.07
INSP-0000136,MCH-002-01-01,PROD-007,2026-01-18,False,,97.59
INSP-0000137,MCH-002-01-01,PROD-006,2026-01-26,False,,92.61
INSP-0000138,MCH-002-01-01,PROD-005,2026-01-27,False,,94.77
INSP-0000139,MCH-002-01-01,PROD-002,2026-01-30,False,,92.22
INSP-0000140,MCH-002-01-02,PROD-008,2026-01-03,False,,98.99
INSP-0000141,MCH-002-01-02,PROD-005,2026-01-08,False,,91.2
INSP-0000142,MCH-002-01-02,PROD-005,2026-01-11,False,,95.02
INSP-0000143,MCH-002-01-02,PROD-010,2026-01-12,False,,94.04
INSP-0000144,MCH-002-01-02,PROD-002,2026-01-14,False,,99.23
INSP-0000145,MCH-002-01-02,PROD-007,2026-01-17,False,,92.56
INSP-0000146,MCH-002-01-02,PROD-008,2026-01-21,False,,97.2
INSP-0000147,MCH-002-01-02,PROD-009,2026-01-26,False,,92.0
INSP-0000148,MCH-002-01-02,PROD-006,2026-01-28,False,,93.1
INSP-0000149,MCH-002-01-02,PROD-007,2026-01-29,True,Assembly Error,80.37
INSP-0000150,MCH-002-01-03,PROD-008,2026-01-01,False,,94.41
INSP-0000151,MCH-002-01-03,PROD-009,2026-01-05,False,,91.85
INSP-0000152,MCH-002-01-03,PROD-010,2026-01-09,False,,94.39
INSP-0000153,MCH-002-01-03,PROD-001,2026-01-12,False,,98.7
INSP-0000154,MCH-002-01-03,PROD-001,2026-01-13,False,,91.72
INSP-0000155,MCH-002-01-03,PROD-002,2026-01-14,False,,96.54
INSP-0000156,MCH-002-01-03,PROD-005,2026-01-15,False,,96.91
INSP-0000157,MCH-002-01-03,PROD-007,2026-01-17,False,,91.38
INSP-0000158,MCH-002-01-03,PROD-007,2026-01-18,False,,98.79
INSP-0000159,MCH-002-01-03,PROD-001,2026-01-26,False,,94.01
INSP-0000160,MCH-002-01-04,PROD-001,2026-01-02,False,,99.79
INSP-0000161,MCH-002-01-04,PROD-002,2026-01-03,False,,92.54
INSP-0000162,MCH-002-01-04,PROD-005,2026-01-11,False,,90.61
INSP-0000163,MCH-002-01-04,PROD-009,2026-01-19,False,,97.5
INSP-0000164,MCH-002-01-04,PROD-002,2026-01-20,False,,91.63
INSP-0000165,MCH-002-01-04,PROD-005,2026-01-22,False,,94.57
INSP-0000166,MCH-002-01-04,PROD-002,2026-01-26,False,,97.01
INSP-0000167,MCH-002-01-04,PROD-001,2026-01-29,False,,93.86
INSP-0000168,MCH-002-01-04,PROD-005,2026-01-30,False,,90.62
INSP-0000169,MCH-002-02-01,PROD-003,2026-01-02,False,,91.34
INSP-0000170,MCH-002-02-01,PROD-006,2026-01-06,False,,96.11
INSP-0000171,MCH-002-02-01,PROD-006,2026-01-08,False,,95.5
INSP-0000172,MCH-002-02-01,PROD-003,2026-01-09,False,,95.22
INSP-0000173,MCH-002-02-01,PROD-003,2026-01-12,False,,97.03
INSP-0000174,MCH-002-02-01,PROD-001,2026-01-15,False,,96.11
INSP-0000175,MCH-002-02-01,PROD-008,2026-01-19,False,,92.61
INSP-0000176,MCH-002-02-01,PROD-006,2026-01-20,True,Assembly Error,96.17
INSP-0000177,MCH-002-02-01,PROD-002,2026-01-22,False,,93.82
INSP-0000178,MCH-002-02-01,PROD-007,2026-01-24,False,,92.73
INSP-0000179,MCH-002-02-01,PROD-002,2026-01-28,False,,97.75
INSP-0000180,MCH-002-02-01,PROD-004,2026-01-29,False,,94.14
INSP-0000181,MCH-002-02-02,PROD-008,2026-01-06,False,,96.85
INSP-0000182,MCH-002-02-02,PROD-001,2026-01-07,False,,97.97
INSP-0000183,MCH-002-02-02,PROD-007,2026-01-09,False,,90.96
INSP-0000184,MCH-002-02-02,PROD-002,2026-01-10,False,,95.17
INSP-0000185,MCH-002-02-02,PROD-007,2026-01-12,False,,98.17
INSP-0000186,MCH-002-02-02,PROD-003,2026-01-14,False,,91.14
INSP-0000187,MCH-002-02-02,PROD-004,2026-01-15,False,,94.62
INSP-0000188,MCH-002-02-02,PROD-006,2026-01-16,False,,95.32
INSP-0000189,MCH-002-02-02,PROD-005,2026-01-19,False,,92.67
INSP-0000190,MCH-002-02-02,PROD-005,2026-01-20,False,,90.49
INSP-0000191,MCH-002-02-02,PROD-003,2026-01-21,False,,90.03
INSP-0000192,MCH-002-02-02,PROD-006,2026-01-26,False,,98.07
INSP-0000193,MCH-002-02-03,PROD-001,2026-01-01,False,,97.55
INSP-0000194,MCH-002-02-03,PROD-001,2026-01-02,False,,91.08
INSP-0000195,MCH-002-02-03,PROD-009,2026-01-07,False,,98.1
INSP-0000196,MCH-002-02-03,PROD-004,2026-01-08,False,,96.83
INSP-0000197,MCH-002-02-03,PROD-001,2026-01-11,False,,94.29
INSP-0000198,MCH-002-02-03,PROD-005,2026-01-13,False,,94.02
INSP-0000199,MCH-002-02-03,PROD-004,2026-01-14,False,,91.56
INSP-0000200,MCH-002-02-03,PROD-003,2026-01-21,False,,93.02
INSP-0000201,MCH-002-02-03,PROD-003,2026-01-26,False,,96.06
INSP-0000202,MCH-002-02-03,PROD-010,2026-01-29,False,,99.49
INSP-0000203,MCH-002-02-03,PROD-001,2026-01-30,False,,94.97
INSP-0000204,MCH-002-02-04,PROD-002,2026-01-01,False,,97.53
INSP-0000205,MCH-002-02-04,PROD-010,2026-01-03,True,Dimensional Error,90.71
INSP-0000206,MCH-002-02-04,PROD-005,2026-01-06,False,,99.72
INSP-0000207,MCH-002-02-04,PROD-005,2026-01-08,False,,94.86
INSP-0000208,MCH-002-02-04,PROD-001,2026-01-12,False,,98.07
INSP-0000209,MCH-002-02-04,PROD-004,2026-01-16,True,Assembly Error,85.02
INSP-0000210,MCH-002-02-04,PROD-009,2026-01-19,False,,92.82
INSP-0000211,MCH-002-02-04,PROD-004,2026-01-21,False,,97.29
INSP-0000212,MCH-002-02-04,PROD-002,2026-01-23,False,,93.58
INSP-0000213,MCH-002-03-01,PROD-009,2026-01-03,False,,91.31
INSP-0000214,MCH-002-03-01,PROD-010,2026-01-04,False,,98.04
INSP-0000215,MCH-002-03-01,PROD-010,2026-01-12,True,Dimensional Error,78.36
INSP-0000216,MCH-002-03-01,PROD-010,2026-01-16,False,,90.76
INSP-0000217,MCH-002-03-01,PROD-010,2026-01-18,False,,95.18
INSP-0000218,MCH-002-03-01,PROD-010,2026-01-22,False,,96.56
INSP-0000219,MCH-002-03-01,PROD-007,2026-01-25,False,,93.16
INSP-0000220,MCH-002-03-01,PROD-001,2026-01-27,False,,96.07
INSP-0000221,MCH-002-03-01,PROD-003,2026-01-28,False,,93.47
INSP-0000222,MCH-002-03-01,PROD-007,2026-01-30,False,,91.34
INSP-0000223,MCH-002-03-02,PROD-008,2026-01-01,False,,99.45
INSP-0000224,MCH-002-03-02,PROD-009,2026-01-03,False,,92.02
INSP-0000225,MCH-002-03-02,PROD-007,2026-01-06,False,,94.66
INSP-0000226,MCH-002-03-02,PROD-002,2026-01-07,False,,93.93
INSP-0000227,MCH-002-03-02,PROD-010,2026-01-08,False,,95.12
INSP-0000228,MCH-002-03-02,PROD-003,2026-01-11,False,,94.33
INSP-0000229,MCH-002-03-02,PROD-005,2026-01-19,False,,97.82
INSP-0000230,MCH-002-03-02,PROD-004,2026-01-23,True,Assembly Error,95.06
INSP-0000231,MCH-002-03-02,PROD-002,2026-01-30,False,,93.51
INSP-0000232,MCH-002-03-03,PROD-005,2026-01-02,False,,96.35
INSP-0000233,MCH-002-03-03,PROD-008,2026-01-06,False,,97.55
INSP-0000234,MCH-002-03-03,PROD-003,2026-01-07,False,,90.42
INSP-0000235,MCH-002-03-03,PROD-001,2026-01-11,False,,94.72
INSP-0000236,MCH-002-03-03,PROD-003,2026-01-12,False,,97.93
INSP-0000237,MCH-002-03-03,PROD-004,2026-01-13,False,,99.2
INSP-0000238,MCH-002-03-03,PROD-008,2026-01-17,False,,98.55
INSP-0000239,MCH-002-03-03,PROD-004,2026-01-19,False,,99.29
INSP-0000240,MCH-002-03-03,PROD-001,2026-01-21,False,,96.07
INSP-0000241,MCH-002-03-03,PROD-008,2026-01-22,False,,99.43
INSP-0000242,MCH-002-03-03,PROD-006,2026-01-23,False,,96.63
INSP-0000243,MCH-002-03-03,PROD-001,2026-01-24,False,,94.45
INSP-0000244,MCH-002-03-03,PROD-004,2026-01-27,False,,97.04
INSP-0000245,MCH-002-03-03,PROD-002,2026-01-30,False,,96.03
INSP-0000246,MCH-002-03-04,PROD-006,2026-01-01,False,,93.91
INSP-0000247,MCH-002-03-04,PROD-001,2026-01-03,False,,91.65
INSP-0000248,MCH-002-03-04,PROD-001,2026-01-08,False,,90.29
INSP-0000249,MCH-002-03-04,PROD-005,2026-01-09,False,,96.81
INSP-0000250,MCH-002-03-04,PROD-007,2026-01-11,False,,90.27
INSP-0000251,MCH-002-03-04,PROD-003,2026-01-16,False,,94.41
INSP-0000252,MCH-002-03-04,PROD-008,2026-01-18,False,,99.14
INSP-0000253,MCH-002-03-04,PROD-008,2026-01-19,False,,96.36
INSP-0000254,MCH-002-03-04,PROD-009,2026-01-20,False,,96.28
INSP-0000255,MCH-002-03-04,PROD-008,2026-01-22,False,,98.68
INSP-0000256,MCH-002-03-04,PROD-004,2026-01-23,False,,97.5
INSP-0000257,MCH-002-03-04,PROD-006,2026-01-24,False,,93.09
INSP-0000258,MCH-002-03-04,PROD-006,2026-01-25,False,,92.2
INSP-0000259,MCH-002-03-04,PROD-008,2026-01-30,False,,96.28
INSP-0000260,MCH-003-01-01,PROD-009,2026-01-03,False,,92.24
INSP-0000261,MCH-003-01-01,PROD-008,2026-01-09,False,,100.0
INSP-0000262,MCH-003-01-01,PROD-004,2026-01-23,False,,96.69
INSP-0000263,MCH-003-01-01,PROD-003,2026-01-28,False,,96.77
INSP-0000264,MCH-003-01-01,PROD-005,2026-01-30,False,,91.24
INSP-0000265,MCH-003-01-02,PROD-010,2026-01-04,False,,94.85
INSP-0000266,MCH-003-01-02,PROD-010,2026-01-08,False,,94.36
INSP-0000267,MCH-003-01-02,PROD-008,2026-01-09,False,,90.12
INSP-0000268,MCH-003-01-02,PROD-010,2026-01-13,False,,92.67
INSP-0000269,MCH-003-01-02,PROD-004,2026-01-14,True,Surface Defect,75.37
INSP-0000270,MCH-003-01-02,PROD-003,2026-01-15,False,,95.43
INSP-0000271,MCH-003-01-02,PROD-002,2026-01-16,False,,97.21
INSP-0000272,MCH-003-01-02,PROD-007,2026-01-19,False,,93.13
INSP-0000273,MCH-003-01-02,PROD-008,2026-01-22,False,,91.28
INSP-0000274,MCH-003-01-02,PROD-004,2026-01-28,False,,91.23
INSP-0000275,MCH-003-01-02,PROD-007,2026-01-29,False,,95.77
INSP-0000276,MCH-003-01-03,PROD-003,2026-01-03,False,,92.12
INSP-0000277,MCH-003-01-03,PROD-006,2026-01-04,False,,97.31
INSP-0000278,MCH-003-01-03,PROD-001,2026-01-07,False,,98.27
INSP-0000279,MCH-003-01-03,PROD-010,2026-01-08,False,,96.4
INSP-0000280,MCH-003-01-03,PROD-007,2026-01-09,False,,96.0
INSP-0000281,MCH-003-01-03,PROD-009,2026-01-11,False,,93.81
INSP-0000282,MCH-003-01-03,PROD-007,2026-01-15,False,,96.24
INSP-0000283,MCH-003-01-03,PROD-001,2026-01-17,True,Dimensional Error,77.07
INSP-0000284,MCH-003-01-03,PROD-006,2026-01-18,False,,90.56
INSP-0000285,MCH-003-01-03,PROD-007,2026-01-20,False,,91.16
INSP-0000286,MCH-003-01-03,PROD-004,2026-01-23,False,,99.99
INSP-0000287,MCH-003-01-03,PROD-005,2026-01-24,False,,98.72
INSP-0000288,MCH-003-01-03,PROD-010,2026-01-26,False,,94.33
INSP-0000289,MCH-003-01-03,PROD-003,2026-01-27,False,,90.47
INSP-0000290,MCH-003-01-03,PROD-007,2026-01-28,False,,98.07
INSP-0000291,MCH-003-01-04,PROD-009,2026-01-07,False,,96.18
INSP-0000292,MCH-003-01-04,PROD-007,2026-01-08,True,Surface Defect,70.2
INSP-0000293,MCH-003-01-04,PROD-003,2026-01-10,False,,99.79
INSP-0000294,MCH-003-01-04,PROD-005,2026-01-14,False,,98.02
INSP-0000295,MCH-003-01-04,PROD-005,2026-01-22,False,,99.47
INSP-0000296,MCH-003-01-04,PROD-001,2026-01-26,False,,92.6
INSP-0000297,MCH-003-01-04,PROD-001,2026-01-27,False,,91.12
INSP-0000298,MCH-003-02-01,PROD-003,2026-01-02,False,,93.22
INSP-0000299,MCH-003-02-01,PROD-010,2026-01-04,False,,99.81
INSP-0000300,MCH-003-02-01,PROD-007,2026-01-06,False,,92.38
INSP-0000301,MCH-003-02-01,PROD-010,2026-01-07,False,,99.8
INSP-0000302,MCH-003-02-01,PROD-004,2026-01-08,False,,91.42
INSP-0000303,MCH-003-02-01,PROD-009,2026-01-11,False,,92.72
INSP-0000304,MCH-003-02-01,PROD-003,2026-01-13,False,,95.79
INSP-0000305,MCH-003-02-01,PROD-003,2026-01-15,False,,96.91
INSP-0000306,MCH-003-02-01,PROD-005,2026-01-16,False,,91.96
INSP-0000307,MCH-003-02-01,PROD-003,2026-01-17,False,,97.99
INSP-0000308,MCH-003-02-01,PROD-002,2026-01-18,False,,95.46
INSP-0000309,MCH-003-02-01,PROD-008,2026-01-20,False,,91.85
INSP-0000310,MCH-003-02-01,PROD-009,2026-01-24,False,,97.73
INSP-0000311,MCH-003-02-01,PROD-004,2026-01-25,False,,94.25
INSP-0000312,MCH-003-02-01,PROD-008,2026-01-26,False,,90.24
INSP-0000313,MCH-003-02-01,PROD-008,2026-01-27,False,,96.28
INSP-0000314,MCH-003-02-01,PROD-002,2026-01-28,False,,91.17
INSP-0000315,MCH-003-02-01,PROD-003,2026-01-30,False,,97.22
INSP-0000316,MCH-003-02-02,PROD-010,2026-01-08,False,,94.8
INSP-0000317,MCH-003-02-02,PROD-004,2026-01-11,False,,95.41
INSP-0000318,MCH-003-02-02,PROD-007,2026-01-12,False,,93.83
INSP-0000319,MCH-003-02-02,PROD-010,2026-01-15,False,,94.46
INSP-0000320,MCH-003-02-02,PROD-004,2026-01-16,False,,94.73
INSP-0000321,MCH-003-02-02,PROD-003,2026-01-17,False,,98.5
INSP-0000322,MCH-003-02-02,PROD-003,2026-01-20,False,,99.34
INSP-0000323,MCH-003-02-02,PROD-006,2026-01-21,False,,92.92
INSP-0000324,MCH-003-02-02,PROD-003,2026-01-24,False,,97.21
INSP-0000325,MCH-003-02-02,PROD-010,2026-01-30,False,,96.27
INSP-0000326,MCH-003-02-03,PROD-005,2026-01-01,False,,91.79
INSP-0000327,MCH-003-02-03,PROD-002,2026-01-02,False,,92.7
INSP-0000328,MCH-003-02-03,PROD-010,2026-01-03,False,,91.72
INSP-0000329,MCH-003-02-03,PROD-007,2026-01-07,False,,95.25
INSP-0000330,MCH-003-02-03,PROD-009,2026-01-18,False,,98.98
INSP-0000331,MCH-003-02-03,PROD-003,2026-01-25,False,,91.44
INSP-0000332,MCH-003-02-03,PROD-009,2026-01-28,False,,94.53
INSP-0000333,MCH-003-02-03,PROD-001,2026-01-29,False,,98.0
INSP-0000334,MCH-003-02-03,PROD-006,2026-01-30,False,,99.75
INSP-0000335,MCH-003-02-04,PROD-007,2026-01-03,False,,98.03
INSP-0000336,MCH-003-02-04,PROD-007,2026-01-06,False,,98.74
INSP-0000337,MCH-003-02-04,PROD-008,2026-01-14,False,,93.9
INSP-0000338,MCH-003-02-04,PROD-002,2026-01-15,False,,92.36
INSP-0000339,MCH-003-02-04,PROD-008,2026-01-16,False,,99.69
INSP-0000340,MCH-003-02-04,PROD-005,2026-01-19,False,,97.4
INSP-0000341,MCH-003-02-04,PROD-008,2026-01-23,False,,95.78
INSP-0000342,MCH-003-02-04,PROD-010,2026-01-24,False,,92.04
INSP-0000343,MCH-003-02-04,PROD-003,2026-01-28,False,,96.71
INSP-0000344,MCH-003-03-01,PROD-004,2026-01-03,False,,90.62
INSP-0000345,MCH-003-03-01,PROD-003,2026-01-06,False,,93.57
INSP-0000346,MCH-003-03-01,PROD-006,2026-01-08,False,,93.66
INSP-0000347,MCH-003-03-01,PROD-010,2026-01-11,False,,96.84
INSP-0000348,MCH-003-03-01,PROD-008,2026-01-16,False,,93.55
INSP-0000349,MCH-003-03-01,PROD-007,2026-01-18,False,,94.19
INSP-0000350,MCH-003-03-01,PROD-008,2026-01-19,False,,90.79
INSP-0000351,MCH-003-03-01,PROD-008,2026-01-20,False,,93.66
INSP-0000352,MCH-003-03-01,PROD-007,2026-01-24,False,,91.95
INSP-0000353,MCH-003-03-01,PROD-006,2026-01-27,False,,94.72
INSP-0000354,MCH-003-03-01,PROD-008,2026-01-28,False,,96.64
INSP-0000355,MCH-003-03-01,PROD-004,2026-01-30,False,,95.29
INSP-0000356,MCH-003-03-02,PROD-007,2026-01-02,False,,94.28
INSP-0000357,MCH-003-03-02,PROD-007,2026-01-06,False,,96.0
INSP-0000358,MCH-003-03-02,PROD-008,2026-01-10,False,,99.78
INSP-0000359,MCH-003-03-02,PROD-006,2026-01-14,False,,90.1
INSP-0000360,MCH-003-03-02,PROD-010,2026-01-23,False,,95.64
INSP-0000361,MCH-003-03-02,PROD-006,2026-01-26,False,,98.04
INSP-0000362,MCH-003-03-02,PROD-001,2026-01-27,False,,94.18
INSP-0000363,MCH-003-03-02,PROD-004,2026-01-28,False,,91.44
