machine_id,line_id,machine_name,machine_type,installation_date,age_years,criticality
MCH-004-02-02,LINE-004-02,Machine MCH-004-02-02,Robot,2022-02-20,8,High
MCH-004-02-03,LINE-004-02,Machine MCH-004-02-03,CNC,2021-12-11,7,Medium
MCH-004-02-04,LINE-004-02,Machine MCH-004-02-04,CNC,2019-04-29,2,High
MCH-004-03-01,LINE-004-03,Machine MCH-004-03-01,Press,2020-11-14,6,Medium
MCH-004-03-02,LINE-004-03,Machine MCH-004-03-02,Press,2022-04-27,6,Low
MCH-004-03-03,LINE-004-03,Machine MCH-004-03-03,CNC,2022-07-08,2,Medium
MCH-004-03-04,LINE-004-03,Machine MCH-004-03-04,Conveyor,2021-09-21,5,Medium
MCH-005-01-01,LINE-005-01,Machine MCH-005-01-01,Press,2021-05-26,2,Low
MCH-005-01-02,LINE-005-01,Machine MCH-005-01-02,Robot,2022-02-10,4,Low
MCH-005-01-03,LINE-005-01,Machine MCH-005-01-03,Press,2021-01-10,3,Low
MCH-005-01-04,LINE-005-01,Machine MCH-005-01-04,CNC,2021-10-13,2,Medium
MCH-005-02-01,LINE-005-02,Machine MCH-005-02-01,Conveyor,2019-09-13,4,Medium
MCH-005-02-02,LINE-005-02,Machine MCH-005-02-02,Conveyor,2020-11-01,4,Medium
MCH-005-02-03,LINE-005-02,Machine MCH-005-02-03,CNC,2019-02-04,3,Medium
MCH-005-02-04,LINE-005-02,Machine MCH-005-02-04,Conveyor,2020-12-01,7,Low
MCH-005-03-01,LINE-005-03,Machine MCH-005-03-01,CNC,2020-12-30,6,High
MCH-005-03-02,LINE-005-03,Machine MCH-005-03-02,CNC,2019-08-30,6,Medium
MCH-005-03-03,LINE-005-03,Machine MCH-005-03-03,Conveyor,2020-02-05,8,Medium
MCH-005-03-04,LINE-005-03,Machine MCH-005-03-04,CNC,2022-06-28,5,Low
