sensor_reading_id,machine_id,recorded_at,temperature_celsius,vibration_mm_s,pressure_psi
SENSOR-00000031,MCH-001-01-01,2026-01-06 00:00:00,84.99,3.341,98.82
SENSOR-00000032,MCH-001-01-01,2026-01-06 04:00:00,86.28,3.069,99.65
SENSOR-00000033,MCH-001-01-01,2026-01-06 08:00:00,87.52,2.638,96.11
SENSOR-00000034,MCH-001-01-01,2026-01-06 12:00:00,78.27,2.553,97.97
SENSOR-00000035,MCH-001-01-01,2026-01-06 16:00:00,87.2,3.065,100.59
SENSOR-00000036,MCH-001-01-01,2026-01-06 20:00:00,88.56,3.468,99.79
SENSOR-00000037,MCH-001-01-01,2026-01-07 00:00:00,82.77,3.337,105.16
SENSOR-00000038,MCH-001-01-01,2026-01-07 04:00:00,78.67,3.234,96.88
SENSOR-00000039,MCH-001-01-01,2026-01-07 08:00:00,86.1,3.103,94.51
SENSOR-00000040,MCH-001-01-01,2026-01-07 12:00:00,87.91,2.985,98.4
SENSOR-00000041,MCH-001-01-01,2026-01-07 16:00:00,79.92,2.972,101.28
SENSOR-00000042,MCH-001-01-01,2026-01-07 20:00:00,83.44,3.218,101.09
SENSOR-00000043,MCH-001-01-01,2026-01-08 00:00:00,92.51,3.153,100.48
SENSOR-00000044,MCH-001-01-01,2026-01-08 04:00:00,88.5,2.925,101.0
SENSOR-00000045,MCH-001-01-01,2026-01-08 08:00:00,84.1,3.214,97.5
SENSOR-00000046,MCH-001-01-01,2026-01-08 12:00:00,77.84,2.618,96.65
SENSOR-00000047,MCH-001-01-01,2026-01-08 16:00:00,82.36,3.063,105.81
SENSOR-00000048,MCH-001-01-01,2026-01-08 20:00:00,88.62,2.895,101.04
SENSOR-00000049,MCH-001-01-01,2026-01-09 00:00:00,94.59,3.192,104.3
SENSOR-00000050,MCH-001-01-01,2026-01-09 04:00:00,84.57,3.281,99.83
SENSOR-00000051,MCH-001-01-01,2026-01-09 08:00:00,83.52,2.941,101.29
SENSOR-00000052,MCH-001-01-01,2026-01-09 12:00:00,80.79,3.302,103.26
SENSOR-00000053,MCH-001-01-01,2026-01-09 16:00:00,85.67,3.064,101.36
SENSOR-00000054,MCH-001-01-01,2026-01-09 20:00:00,82.96,3.37,94.51
SENSOR-00000055,MCH-001-01-01,2026-01-10 00:00:00,93.88,3.245,98.32
SENSOR-00000056,MCH-001-01-01,2026-01-10 04:00:00,86.06,2.746,99.11
SENSOR-00000057,MCH-001-01-01,2026-01-10 08:00:00,84.6,3.114,102.37
SENSOR-00000058,MCH-001-01-01,2026-01-10 12:00:00,85.58,3.303,97.93
SENSOR-00000059,MCH-001-01-01,2026-01-10 16:00:00,87.79,3.543,97.09
SENSOR-00000060,MCH-001-01-01,2026-01-10 20:00:00,80.65,3.47,99.43
SENSOR-00000061,MCH-001-01-01,2026-01-11 00:00:00,82.41,3.249,95.3
SENSOR-00000062,MCH-001-01-01,2026-01-11 04:00:00,86.75,3.001,103.44
SENSOR-00000063,MCH-001-01-01,2026-01-11 08:00:00,74.62,2.939,94.94
SENSOR-00000064,MCH-001-01-01,2026-01-11 12:00:00,80.89,3.198,99.46
SENSOR-00000065,MCH-001-01-01,2026-01-11 16:00:00,83.19,3.096,100.61
SENSOR-00000066,MCH-001-01-01,2026-01-11 20:00:00,80.17,3.313,101.99
SENSOR-00000067,MCH-001-01-01,2026-01-12 00:00:00,79.22,2.914,99.79
SENSOR-00000068,MCH-001-01-01,2026-01-12 04:00:00,85.54,3.149,97.7
SENSOR-00000069,MCH-001-01-01,2026-01-12 08:00:00,87.8,3.321,99.52
SENSOR-00000070,MCH-001-01-01,2026-01-12 12:00:00,81.59,3.273,100.56
SENSOR-00000071,MCH-001-01-01,2026-01-12 16:00:00,78.41,3.119,100.79
SENSOR-00000072,MCH-001-01-01,2026-01-12 20:00:00,80.6,3.183,95.64
SENSOR-00000073,MCH-001-01-01,2026-01-13 00:00:00,87.06,3.635,96.47
SENSOR-00000074,MCH-001-01-01,2026-01-13 04:00:00,80.85,3.195,104.83
SENSOR-00000075,MCH-001-01-01,2026-01-13 08:00:00,79.31,3.198,105.46
SENSOR-00000076,MCH-001-01-01,2026-01-13 12:00:00,77.59,2.816,98.73
SENSOR-00000077,MCH-001-01-01,2026-01-13 16:00:00,82.12,3.339,100.72
SENSOR-00000078,MCH-001-01-01,2026-01-13 20:00:00,77.1,3.265,98.27
SENSOR-00000079,MCH-001-01-01,2026-01-14 00:00:00,85.14,2.78,101.34
SENSOR-00000080,MCH-001-01-01,2026-01-14 04:00:00,80.97,2.815,102.14
SENSOR-00000081,MCH-001-01-01,2026-01-14 08:00:00,85.17,2.982,104.35
SENSOR-00000082,MCH-001-01-01,2026-01-14 12:00:00,82.44,3.144,100.81
SENSOR-00000083,MCH-001-01-01,2026-01-14 16:00:00,81.72,3.254,98.4
SENSOR-00000084,MCH-001-01-01,2026-01-14 20:00:00,82.55,3.477,96.88
SENSOR-00000085,MCH-001-01-01,2026-01-15 00:00:00,86.3,2.762,102.1
SENSOR-00000086,MCH-001-01-01,2026-01-15 04:00:00,92.41,3.179,98.99
SENSOR-00000087,MCH-001-01-01,2026-01-15 08:00:00,83.63,3.29,94.81
SENSOR-00000088,MCH-001-01-01,2026-01-15 12:00:00,84.86,3.038,105.54
SENSOR-00000089,MCH-001-01-01,2026-01-15 16:00:00,83.5,3.553,96.69
SENSOR-00000090,MCH-001-01-01,2026-01-15 20:00:00,86.55,3.216,97.39
SENSOR-00000091,MCH-001-01-01,2026-01-16 00:00:00,86.13,3.005,92.31
SENSOR-00000092,MCH-001-01-01,2026-01-16 04:00:00,87.34,3.204,97.86
SENSOR-00000093,MCH-001-01-01,2026-01-16 08:00:00,78.93,3.345,101.05
SENSOR-00000094,MCH-001-01-01,2026-01-16 12:00:00,93.73,3.241,101.16
SENSOR-00000095,MCH-001-01-01,2026-01-16 16:00:00,83.53,3.34,101.88
SENSOR-00000096,MCH-001-01-01,2026-01-16 20:00:00,89.21,3.006,98.69
SENSOR-00000097,MCH-001-01-01,2026-01-17 00:00:00,75.19,2.929,97.65
SENSOR-00000098,MCH-001-01-01,2026-01-17 04:00:00,74.92,2.895,97.25
SENSOR-00000099,MCH-001-01-01,2026-01-17 08:00:00,83.39,3.414,99.26
SENSOR-00000100,MCH-001-01-01,2026-01-17 12:00:00,80.08,3.122,103.15
SENSOR-00000101,MCH-001-01-01,2026-01-17 16:00:00,80.3,2.908,101.68
SENSOR-00000102,MCH-001-01-01,2026-01-17 20:00:00,83.31,3.298,99.96
SENSOR-00000103,MCH-001-01-01,2026-01-18 00:00:00,75.08,2.762,97.23
SENSOR-00000104,MCH-001-01-01,2026-01-18 04:00:00,90.04,3.207,102.3
SENSOR-00000105,MCH-001-01-01,2026-01-18 08:00:00,79.64,2.856,101.34
SENSOR-00000106,MCH-001-01-01,2026-01-18 12:00:00,84.43,3.273,99.44
SENSOR-00000107,MCH-001-01-01,2026-01-18 16:00:00,85.31,3.175,102.33
SENSOR-00000108,MCH-001-01-01,2026-01-18 20:00:00,87.43,2.731,93.26
SENSOR-00000109,MCH-001-01-01,2026-01-19 00:00:00,82.71,2.913,100.03
SENSOR-00000110,MCH-001-01-01,2026-01-19 04:00:00,83.0,2.882,106.15
SENSOR-00000111,MCH-001-01-01,2026-01-19 08:00:00,91.34,3.42,97.24
SENSOR-00000112,MCH-001-01-01,2026-01-19 12:00:00,87.62,3.296,101.33
SENSOR-00000113,MCH-001-01-01,2026-01-19 16:00:00,89.2,3.295,102.22
SENSOR-00000114,MCH-001-01-01,2026-01-19 20:00:00,86.75,3.221,94.65
SENSOR-00000115,MCH-001-01-01,2026-01-20 00:00:00,85.01,2.863,101.19
SENSOR-00000116,MCH-001-01-01,2026-01-20 04:00:00,84.44,2.81,99.85
SENSOR-00000117,MCH-001-01-01,2026-01-20 08:00:00,83.88,3.585,102.68
SENSOR-00000118,MCH-001-01-01,2026-01-20 12:00:00,84.25,3.198,100.13
SENSOR-00000119,MCH-001-01-01,2026-01-20 16:00:00,83.39,2.865,99.55
SENSOR-00000120,MCH-001-01-01,2026-01-20 20:00:00,81.21,2.823,101.53
SENSOR-00000121,MCH-001-01-01,2026-01-21 00:00:00,85.72,3.458,103.3
SENSOR-00000122,MCH-001-01-01,2026-01-21 04:00:00,83.67,2.825,99.04
SENSOR-00000123,MCH-001-01-01,2026-01-21 08:00:00,85.07,3.085,98.27
SENSOR-00000124,MCH-001-01-01,2026-01-21 12:00:00,85.21,3.01,98.12
SENSOR-00000125,MCH-001-01-01,2026-01-21 16:00:00,85.45,3.035,100.73
SENSOR-00000126,MCH-001-01-01,2026-01-21 20:00:00,85.29,2.851,98.56
SENSOR-00000127,MCH-001-01-01,2026-01-22 00:00:00,89.06,2.468,101.19
SENSOR-00000128,MCH-001-01-01,2026-01-22 04:00:00,90.45,2.854,98.86
SENSOR-00000129,MCH-001-01-01,2026-01-22 08:00:00,81.19,2.912,99.02
SENSOR-00000130,MCH-001-01-01,2026-01-22 12:00:00,89.91,3.595,98.99
SENSOR-00000131,MCH-001-01-01,2026-01-22 16:00:00,91.82,3.145,105.26
SENSOR-00000132,MCH-001-01-01,2026-01-22 20:00:00,83.83,3.169,101.1
SENSOR-00000133,MCH-001-01-01,2026-01-23 00:00:00,85.31,3.139,101.01
SENSOR-00000134,MCH-001-01-01,2026-01-23 04:00:00,85.9,2.652,102.0
SENSOR-00000135,MCH-001-01-01,2026-01-23 08:00:00,80.27,2.775,99.82
SENSOR-00000136,MCH-001-01-01,2026-01-23 12:00:00,84.54,2.963,102.49
SENSOR-00000137,MCH-001-01-01,2026-01-23 16:00:00,78.83,3.034,98.25
SENSOR-00000138,MCH-001-01-01,2026-01-23 20:00:00,84.01,3.206,96.98
SENSOR-00000139,MCH-001-01-01,2026-01-24 00:00:00,85.1,3.373,96.67
SENSOR-00000140,MCH-001-01-01,2026-01-24 04:00:00,79.51,2.863,100.87
SENSOR-00000141,MCH-001-01-01,2026-01-24 08:00:00,89.18,3.028,92.49
SENSOR-00000142,MCH-001-01-01,2026-01-24 12:00:00,77.38,2.928,98.33
SENSOR-00000143,MCH-001-01-01,2026-01-24 16:00:00,82.57,3.146,99.06
SENSOR-00000144,MCH-001-01-01,2026-01-24 20:00:00,88.4,2.967,97.41
SENSOR-00000145,MCH-001-01-01,2026-01-25 00:00:00,83.3,2.817,100.21
SENSOR-00000146,MCH-001-01-01,2026-01-25 04:00:00,79.89,2.948,101.19
SENSOR-00000147,MCH-001-01-01,2026-01-25 08:00:00,86.42,2.98,102.96
SENSOR-00000148,MCH-001-01-01,2026-01-25 12:00:00,88.83,3.495,101.59
SENSOR-00000149,MCH-001-01-01,2026-01-25 16:00:00,89.65,2.666,99.05
SENSOR-00000150,MCH-001-01-01,2026-01-25 20:00:00,80.73,3.166,98.29
SENSOR-00000151,MCH-001-01-01,2026-01-26 00:00:00,88.86,3.548,100.93
SENSOR-00000152,MCH-001-01-01,2026-01-26 04:00:00,86.56,2.848,99.74
SENSOR-00000153,MCH-001-01-01,2026-01-26 08:00:00,87.96,3.352,100.63
SENSOR-00000154,MCH-001-01-01,2026-01-26 12:00:00,87.74,3.259,103.6
SENSOR-00000155,MCH-001-01-01,2026-01-26 16:00:00,85.36,3.047,101.01
SENSOR-00000156,MCH-001-01-01,2026-01-26 20:00:00,72.48,3.232,89.05
SENSOR-00000157,MCH-001-01-01,2026-01-27 00:00:00,90.67,3.169,96.99
SENSOR-00000158,MCH-001-01-01,2026-01-27 04:00:00,83.76,3.127,95.91
SENSOR-00000159,MCH-001-01-01,2026-01-27 08:00:00,83.18,2.95,102.77
SENSOR-00000160,MCH-001-01-01,2026-01-27 12:00:00,84.34,3.065,99.68
SENSOR-00000161,MCH-001-01-01,2026-01-27 16:00:00,85.09,3.29,97.0
SENSOR-00000162,MCH-001-01-01,2026-01-27 20:00:00,80.03,3.412,98.76
SENSOR-00000163,MCH-001-01-01,2026-01-28 00:00:00,78.58,3.219,99.09
SENSOR-00000164,MCH-001-01-01,2026-01-28 04:00:00,82.27,3.354,104.44
SENSOR-00000165,MCH-001-01-01,2026-01-28 08:00:00,91.38,3.465,99.67
SENSOR-00000166,MCH-001-01-01,2026-01-28 12:00:00,85.61,3.328,100.36
SENSOR-00000167,MCH-001-01-01,2026-01-28 16:00:00,84.72,3.342,99.82
SENSOR-00000168,MCH-001-01-01,2026-01-28 20:00:00,81.28,3.032,101.9
SENSOR-00000169,MCH-001-01-01,2026-01-29 00:00:00,80.02,2.881,100.16
SENSOR-00000170,MCH-001-01-01,2026-01-29 04:00:00,83.1,3.052,101.86
SENSOR-00000171,MCH-001-01-01,2026-01-29 08:00:00,85.56,3.215,101.23
SENSOR-00000172,MCH-001-01-01,2026-01-29 12:00:00,86.66,2.609,98.91
SENSOR-00000173,MCH-001-01-01,2026-01-29 16:00:00,75.48,3.145,99.99
SENSOR-00000174,MCH-001-01-01,2026-01-29 20:00:00,88.38,3.433,100.61
SENSOR-00000175,MCH-001-01-01,2026-01-30 00:00:00,86.99,3.161,97.71
SENSOR-00000176,MCH-001-01-01,2026-01-30 04:00:00,80.76,3.002,101.63
SENSOR-00000177,MCH-001-01-01,2026-01-30 08:00:00,80.38,3.245,96.27
SENSOR-00000178,MCH-001-01-01,2026-01-30 12:00:00,83.38,3.163,107.34
SENSOR-00000179,MCH-001-01-01,2026-01-30 16:00:00,78.69,3.504,100.45
SENSOR-00000180,MCH-001-01-01,2026-01-30 20:00:00,85.84,3.166,101.33
SENSOR-00000181,MCH-001-01-02,2026-01-01 00:00:00,81.57,2.601,97.26
SENSOR-00000182,MCH-001-01-02,2026-01-01 04:00:00,83.39,3.329,108.43
SENSOR-00000183,MCH-001-01-02,2026-01-01 08:00:00,80.14,3.358,100.73
SENSOR-00000184,MCH-001-01-02,2026-01-01 12:00:00,81.88,3.107,100.19
SENSOR-00000185,MCH-001-01-02,2026-01-01 16:00:00,82.93,2.897,95.81
SENSOR-00000186,MCH-001-01-02,2026-01-01 20:00:00,76.31,3.162,99.17
SENSOR-00000187,MCH-001-01-02,2026-01-02 00:00:00,87.45,3.281,101.84
SENSOR-00000188,MCH-001-01-02,2026-01-02 04:00:00,84.88,3.129,96.71
SENSOR-00000189,MCH-001-01-02,2026-01-02 08:00:00,85.29,2.66,97.62
SENSOR-00000190,MCH-001-01-02,2026-01-02 12:00:00,87.7,3.209,104.46
SENSOR-00000191,MCH-001-01-02,2026-01-02 16:00:00,81.4,2.711,99.28
SENSOR-00000192,MCH-001-01-02,2026-01-02 20:00:00,82.89,3.019,103.4
SENSOR-00000193,MCH-001-01-02,2026-01-03 00:00:00,81.4,3.442,99.7
SENSOR-00000194,MCH-001-01-02,2026-01-03 04:00:00,81.51,2.474,97.32
SENSOR-00000195,MCH-001-01-02,2026-01-03 08:00:00,81.43,2.827,104.15
SENSOR-00000196,MCH-001-01-02,2026-01-03 12:00:00,81.82,3.321,100.19
SENSOR-00000197,MCH-001-01-02,2026-01-03 16:00:00,82.63,2.977,100.01
SENSOR-00000198,MCH-001-01-02,2026-01-03 20:00:00,89.36,2.419,94.0
SENSOR-00000199,MCH-001-01-02,2026-01-04 00:00:00,86.34,3.067,98.32
SENSOR-00000200,MCH-001-01-02,2026-01-04 04:00:00,85.28,3.026,100.0
SENSOR-00000201,MCH-001-01-02,2026-01-04 08:00:00,88.38,2.386,95.75
SENSOR-00000202,MCH-001-01-02,2026-01-04 12:00:00,77.74,2.908,99.24
SENSOR-00000203,MCH-001-01-02,2026-01-04 16:00:00,76.46,2.752,97.42
SENSOR-00000204,MCH-001-01-02,2026-01-04 20:00:00,92.31,3.449,98.76
SENSOR-00000205,MCH-001-01-02,2026-01-05 00:00:00,83.95,3.103,96.04
SENSOR-00000206,MCH-001-01-02,2026-01-05 04:00:00,85.9,2.799,101.9
SENSOR-00000207,MCH-001-01-02,2026-01-05 08:00:00,82.44,2.655,99.05
SENSOR-00000208,MCH-001-01-02,2026-01-05 12:00:00,83.95,3.152,99.58
SENSOR-00000209,MCH-001-01-02,2026-01-05 16:00:00,88.61,3.251,99.23
SENSOR-00000210,MCH-001-01-02,2026-01-05 20:00:00,85.48,3.482,105.88
SENSOR-00000211,MCH-001-01-02,2026-01-06 00:00:00,79.88,2.83,97.86
SENSOR-00000212,MCH-001-01-02,2026-01-06 04:00:00,78.97,3.569,100.89
SENSOR-00000213,MCH-001-01-02,2026-01-06 08:00:00,86.03,2.876,99.44
SENSOR-00000214,MCH-001-01-02,2026-01-06 12:00:00,79.63,2.336,95.87
SENSOR-00000215,MCH-001-01-02,2026-01-06 16:00:00,75.24,2.436,96.41
SENSOR-00000216,MCH-001-01-02,2026-01-06 20:00:00,87.78,2.988,103.87
SENSOR-00000217,MCH-001-01-02,2026-01-07 00:00:00,80.29,2.718,96.45
SENSOR-00000218,MCH-001-01-02,2026-01-07 04:00:00,82.83,3.081,97.62
SENSOR-00000219,MCH-001-01-02,2026-01-07 08:00:00,82.59,3.141,101.85
SENSOR-00000220,MCH-001-01-02,2026-01-07 12:00:00,88.69,3.318,97.0
SENSOR-00000221,MCH-001-01-02,2026-01-07 16:00:00,89.22,2.866,103.13
SENSOR-00000222,MCH-001-01-02,2026-01-07 20:00:00,82.76,2.896,94.58
SENSOR-00000223,MCH-001-01-02,2026-01-08 00:00:00,89.44,2.878,103.0
SENSOR-00000224,MCH-001-01-02,2026-01-08 04:00:00,82.87,3.198,98.66
SENSOR-00000225,MCH-001-01-02,2026-01-08 08:00:00,82.29,2.97,97.49
SENSOR-00000226,MCH-001-01-02,2026-01-08 12:00:00,85.13,3.161,101.78
SENSOR-00000227,MCH-001-01-02,2026-01-08 16:00:00,88.63,3.361,98.88
SENSOR-00000228,MCH-001-01-02,2026-01-08 20:00:00,83.98,2.843,100.07
SENSOR-00000229,MCH-001-01-02,2026-01-09 00:00:00,82.39,3.5,102.47
SENSOR-00000230,MCH-001-01-02,2026-01-09 04:00:00,83.16,2.889,98.82
SENSOR-00000231,MCH-001-01-02,2026-01-09 08:00:00,73.97,3.063,102.54
SENSOR-00000232,MCH-001-01-02,2026-01-09 12:00:00,76.18,2.833,96.53
SENSOR-00000233,MCH-001-01-02,2026-01-09 16:00:00,78.62,3.012,93.75
SENSOR-00000234,MCH-001-01-02,2026-01-09 20:00:00,84.94,3.187,99.25
SENSOR-00000235,MCH-001-01-02,2026-01-10 00:00:00,84.75,3.458,99.39
SENSOR-00000236,MCH-001-01-02,2026-01-10 04:00:00,83.99,2.627,103.57
SENSOR-00000237,MCH-001-01-02,2026-01-10 08:00:00,79.44,2.859,99.93
SENSOR-00000238,MCH-001-01-02,2026-01-10 12:00:00,76.23,3.056,102.9
SENSOR-00000239,MCH-001-01-02,2026-01-10 16:00:00,83.66,2.602,99.63
SENSOR-00000240,MCH-001-01-02,2026-01-10 20:00:00,85.45,2.529,96.78
SENSOR-00000241,MCH-001-01-02,2026-01-11 00:00:00,79.29,3.106,101.32
SENSOR-00000242,MCH-001-01-02,2026-01-11 04:00:00,80.38,2.741,106.93
SENSOR-00000243,MCH-001-01-02,2026-01-11 08:00:00,83.79,2.816,102.75
SENSOR-00000244,MCH-001-01-02,2026-01-11 12:00:00,82.05,2.936,101.69
SENSOR-00000245,MCH-001-01-02,2026-01-11 16:00:00,77.32,3.087,105.74
SENSOR-00000246,MCH-001-01-02,2026-01-11 20:00:00,84.35,2.905,98.48
SENSOR-00000247,MCH-001-01-02,2026-01-12 00:00:00,77.98,3.331,103.74
SENSOR-00000248,MCH-001-01-02,2026-01-12 04:00:00,86.32,2.62,102.49
SENSOR-00000249,MCH-001-01-02,2026-01-12 08:00:00,84.1,2.597,99.93
SENSOR-00000250,MCH-001-01-02,2026-01-12 12:00:00,83.94,3.138,100.53
SENSOR-00000251,MCH-001-01-02,2026-01-12 16:00:00,83.65,3.367,103.68
SENSOR-00000252,MCH-001-01-02,2026-01-12 20:00:00,71.02,2.919,99.51
SENSOR-00000253,MCH-001-01-02,2026-01-13 00:00:00,80.31,3.114,94.39
SENSOR-00000254,MCH-001-01-02,2026-01-13 04:00:00,89.93,3.149,99.45
SENSOR-00000255,MCH-001-01-02,2026-01-13 08:00:00,84.79,2.646,103.55
SENSOR-00000256,MCH-001-01-02,2026-01-13 12:00:00,81.19,2.948,98.53
SENSOR-00000257,MCH-001-01-02,2026-01-13 16:00:00,80.16,3.172,100.77
SENSOR-00000258,MCH-001-01-02,2026-01-13 20:00:00,85.09,2.997,101.54
SENSOR-00000259,MCH-001-01-02,2026-01-14 00:00:00,86.37,3.006,99.35
SENSOR-00000260,MCH-001-01-02,2026-01-14 04:00:00,81.65,3.096,104.2
SENSOR-00000261,MCH-001-01-02,2026-01-14 08:00:00,83.21,2.771,102.47
SENSOR-00000262,MCH-001-01-02,2026-01-14 12:00:00,86.17,3.162,102.24
SENSOR-00000263,MCH-001-01-02,2026-01-14 16:00:00,81.4,2.767,97.4
SENSOR-00000264,MCH-001-01-02,2026-01-14 20:00:00,75.94,3.058,99.75
SENSOR-00000265,MCH-001-01-02,2026-01-15 00:00:00,81.91,3.071,106.98
SENSOR-00000266,MCH-001-01-02,2026-01-15 04:00:00,88.55,2.922,98.22
SENSOR-00000267,MCH-001-01-02,2026-01-15 08:00:00,81.18,3.126,99.68
SENSOR-00000268,MCH-001-01-02,2026-01-15 12:00:00,80.9,3.366,99.66
SENSOR-00000269,MCH-001-01-02,2026-01-15 16:00:00,91.68,3.021,105.36
SENSOR-00000270,MCH-001-01-02,2026-01-15 20:00:00,83.91,3.24,97.83
SENSOR-00000271,MCH-001-01-02,2026-01-16 00:00:00,82.92,3.28,99.96
SENSOR-00000272,MCH-001-01-02,2026-01-16 04:00:00,73.44,2.951,99.51
SENSOR-00000273,MCH-001-01-02,2026-01-16 08:00:00,90.87,2.634,98.83
SENSOR-00000274,MCH-001-01-02,2026-01-16 12:00:00,89.31,3.111,101.69
SENSOR-00000275,MCH-001-01-02,2026-01-16 16:00:00,82.94,3.081,102.33
SENSOR-00000276,MCH-001-01-02,2026-01-16 20:00:00,79.25,3.218,95.88
SENSOR-00000277,MCH-001-01-02,2026-01-17 00:00:00,85.33,2.703,98.3
SENSOR-00000278,MCH-001-01-02,2026-01-17 04:00:00,79.99,3.33,100.99
SENSOR-00000279,MCH-001-01-02,2026-01-17 08:00:00,81.64,3.123,93.68
SENSOR-00000280,MCH-001-01-02,2026-01-17 12:00:00,82.31,3.498,100.4
SENSOR-00000281,MCH-001-01-02,2026-01-17 16:00:00,82.76,3.136,102.69
SENSOR-00000282,MCH-001-01-02,2026-01-17 20:00:00,74.49,2.578,100.63
SENSOR-00000283,MCH-001-01-02,2026-01-18 00:00:00,80.79,3.268,103.6
SENSOR-00000284,MCH-001-01-02,2026-01-18 04:00:00,81.8,2.465,101.85
SENSOR-00000285,MCH-001-01-02,2026-01-18 08:00:00,84.71,3.076,102.94
SENSOR-00000286,MCH-001-01-02,2026-01-18 12:00:00,77.83,3.501,97.12
SENSOR-00000287,MCH-001-01-02,2026-01-18 16:00:00,85.48,2.577,97.21
SENSOR-00000288,MCH-001-01-02,2026-01-18 20:00:00,88.55,2.934,102.52
SENSOR-00000289,MCH-001-01-02,2026-01-19 00:00:00,80.16,2.907,95.87
SENSOR-00000290,MCH-001-01-02,2026-01-19 04:00:00,79.97,2.817,102.31
SENSOR-00000291,MCH-001-01-02,2026-01-19 08:00:00,85.72,2.962,98.82
SENSOR-00000292,MCH-001-01-02,2026-01-19 12:00:00,83.04,2.795,96.56
SENSOR-00000293,MCH-001-01-02,2026-01-19 16:00:00,78.72,2.84,96.51
SENSOR-00000294,MCH-001-01-02,2026-01-19 20:00:00,83.13,3.181,95.24
SENSOR-00000295,MCH-001-01-02,2026-01-20 00:00:00,73.63,3.085,103.57
SENSOR-00000296,MCH-001-01-02,2026-01-20 04:00:00,81.87,3.136,97.89
SENSOR-00000297,MCH-001-01-02,2026-01-20 08:00:00,82.01,2.594,92.97
SENSOR-00000298,MCH-001-01-02,2026-01-20 12:00:00,86.26,2.753,98.63
SENSOR-00000299,MCH-001-01-02,2026-01-20 16:00:00,76.94,2.646,99.48
SENSOR-00000300,MCH-001-01-02,2026-01-20 20:00:00,79.57,3.093,101.36
SENSOR-00000301,MCH-001-01-02,2026-01-21 00:00:00,81.24,3.338,101.52
SENSOR-00000302,MCH-001-01-02,2026-01-21 04:00:00,83.27,2.944,98.85
SENSOR-00000303,MCH-001-01-02,2026-01-21 08:00:00,83.64,2.936,99.87
SENSOR-00000304,MCH-001-01-02,2026-01-21 12:00:00,82.8,2.829,101.6
SENSOR-00000305,MCH-001-01-02,2026-01-21 16:00:00,94.14,2.555,100.97
SENSOR-00000306,MCH-001-01-02,2026-01-21 20:00:00,79.44,3.143,100.14
SENSOR-00000307,MCH-001-01-02,2026-01-22 00:00:00,83.07,2.995,100.85
SENSOR-00000308,MCH-001-01-02,2026-01-22 04:00:00,86.82,2.557,102.92
SENSOR-00000309,MCH-001-01-02,2026-01-22 08:00:00,82.52,2.948,95.59
